^:<name=1 footnote=bk>	note
1	大乘 （Mahāyāna）在佛教歷史上有兩大思想，即大乘與上座部。\n大乘是北傳的，經過西藏、中國、韓國、日本等。\n上座部是南傳的，經過緬甸、斯裏蘭卡、泰國等。\n大乘的意思就是大車，可以載所有在生死世界受苦的衆生，無差別地到達湼槃的彼岸。
2	上座部 （Theravāda）一般以此稱號代表佛教的南方傳統，“thera＂意指年長者。\n此教派長久以來，是由一群擁護嚴守規範的保守派年長和尚組成。\n\n相對於支持適度自由的進步派和尚（進步派的信念後來延伸到大乘佛教，屬於北方傳統）。\n這種在佛教徒團體中的反對潮流，據說在早期就已經開始了。\n有個名叫大天（Mahādeva）的進步派和尚，在佛陀圓寂的幾世紀後，主張更自由地闡釋五種佛教戒律，而導致分裂成晚期大乘佛教源頭的上座部（Theravāda）和大衆部（Mahāsā ghika）。
3	三藏 （Tripiṭaka）指經、律、論。\n經是記錄佛所說的話，從前稱為修多羅藏。\n律是戒律，從前叫毗尼藏。\n論是佛經、教義、戒律等的解釋注解，從前稱為阿毘曇藏，後來包括中國、日本高僧的論文。
4	中道 （Madhyamā Pratipad）即謂遠離偏見的中正之道，乃指佛教的立場。\n因此，佛教的思想中，這種中道的思想特別被尊重，發揚。\n中道並非中間之道之意，而是形容遠離執著，公平地徹見眞實的立場。\n其內容是否定兩極端，表現止揚的思想。\n例如：否定有、無的兩極端，斷、常二見即是。\n可謂是一種辨證法哲學之一。^pb282
5	巴利文 （Pāli Language）巴利文是印度語的一種，為上座部佛教的語文。\n古老的佛經是用巴利文所寫，是古代印度及中世紀印度的語文，是與梵文同語系的語言。\n例如梵文的達磨 Dharma，巴利文為 Dhamma，梵文的湼槃 Nirvāṇa，巴利文為 Nibbāna。\n所以此二種語言是很相近。
6	因緣 （Hetu-Pratyaya）因與緣，因就是產生結果的直接原因。\n而緣就是幫助因的間接條件。\n所有的事物皆由因緣而生滅，所以說緣生。\n自然地接受這個道理，為走進佛教的重要條件。
7	出家 （Pravrajana）捨離家庭生活，專門修道，或其實踐者。\n在印度為了修道而離開家庭進入宗教的實踐生活是很普通的。\n釋尊也是依這種習俗出家，成為沙門（婆羅門以外的修行人）。\n最後開悟成佛，成為佛教的開祖（教祖）。
8	空 （Śūnyatā）對一切存在認為沒有實體，無我的一種思想。\n萬物是相依相關而存在的。\n故，實體不變的自我，根本不可能存在其中。\n因此不能執著有實體的存在或不存在。\n一切萬物，人與其他存在，都在相對的關係，絕不能拘束在一個存在或一個主義，也不要認為有絕對的存在。\n這是大乘佛教之智慧經典，即般若經系統的根本思想。
9	波羅蜜 （Pāramitā）梵文的音譯，意譯為「度」或「到彼岸」。\n是指能令人從這個迷惑的岸－現實世界，渡到被開悟的岸－佛的世界的實踐修行。\n通常稱為六波羅蜜，則：布施、持戒、忍辱、精進、禪定、智慧等六度。^pb283
10	法 （達磨·Dharma）「佛陀」所說的「眞實的教法」，其具體的內容就是三藏：經（佛所說的教法）、律（佛所定的日常規則）、論（對經、律的解釋或註釋）三種聖典。\n此法與覺者的「佛陀」，「僧伽（佛教徒的團體）」，為佛教的基本要素。\n此稱為佛、法、僧三寶。
